       x [mm]         y [mm]         z [mm]   xRe [V.s/m^2]  yRe [V.s/m^2]  zRe [V.s/m^2]  
          -55             45             15   8.00138e-005    -0.00093367   -0.000323221
          -50             45             15   3.26392e-005    -0.00109105   -0.000383506
          -45             45             15  -4.94784e-005    -0.00128187   -0.000455497
          -40             45             15   -0.000184319    -0.00147529   -0.000529035
          -35             45             15   -0.000394538    -0.00167114   -0.000605679
          -30             45             15   -0.000683791    -0.00183694   -0.000671414
          -25             45             15    -0.00106852    -0.00191399    -0.00070889
          -20             45             15    -0.00152596    -0.00189182    -0.00070706
          -15             45             15    -0.00202304    -0.00167592   -0.000631357
          -10             45             15     -0.0024809    -0.00127014   -0.000482806
           -5             45             15     -0.0027973   -0.000689619   -0.000263947
            0             45             15     -0.0029066   2.86869e-006  -1.25324e-006
            5             45             15    -0.00279941    0.000689014    0.000262207
           10             45             15    -0.00247665     0.00126852    0.000481099
           15             45             15    -0.00202601     0.00167632    0.000629416
           20             45             15    -0.00153102     0.00188381    0.000708103
           25             45             15    -0.00106938     0.00191911     0.00071074
           30             45             15   -0.000686928     0.00183911    0.000674549
           35             45             15   -0.000394286     0.00167758    0.000611903
           40             45             15   -0.000181726     0.00148533    0.000533714
           45             45             15  -4.89968e-005       0.001281    0.000456273
           50             45             15   3.48725e-005     0.00109375    0.000382887
           55             45             15   7.96664e-005    0.000930562    0.000323017
           60             45             15   9.63412e-005    0.000795418    0.000272486
           65             45             15   9.56637e-005    0.000682802     0.00023166
           70             45             15    8.5695e-005    0.000594981    0.000199541
          -70             50             15   1.44467e-005   -0.000547617   -0.000169571
          -65             50             15   5.18965e-006   -0.000622067   -0.000193586
          -60             50             15  -1.63764e-005   -0.000711227   -0.000222549
          -55             50             15  -5.47451e-005   -0.000820028   -0.000259136
          -50             50             15   -0.000115095   -0.000947154   -0.000299704
          -45             50             15   -0.000210745    -0.00107822   -0.000344575
          -40             50             15   -0.000346129     -0.0012141   -0.000390146
          -35             50             15   -0.000533123    -0.00133532   -0.000432605
          -30             50             15   -0.000780143    -0.00141798   -0.000464615
          -25             50             15    -0.00107664    -0.00144755   -0.000475944
          -20             50             15    -0.00140743    -0.00138369   -0.000460159
          -15             50             15    -0.00175266    -0.00119275   -0.000401488
          -10             50             15    -0.00205317   -0.000887989   -0.000297789
           -5             50             15     -0.0022596    -0.00047202   -0.000156877
            0             50             15    -0.00233106   -4.1778e-006   -1.5726e-006
            5             50             15     -0.0022508    0.000472418    0.000159088
           10             50             15    -0.00204746    0.000882687    0.000296621
           15             50             15    -0.00174549     0.00119507    0.000401601
           20             50             15    -0.00140743     0.00137016    0.000456489
           25             50             15    -0.00107833     0.00144537    0.000479574
           30             50             15   -0.000780448     0.00142173    0.000465146
           35             50             15   -0.000536512     0.00133135    0.000430849
           40             50             15   -0.000348459     0.00121228    0.000390607
           45             50             15   -0.000209983      0.0010768    0.000344813
           50             50             15   -0.000116172    0.000942965    0.000300598
           55             50             15    -5.398e-005    0.000817403    0.000258541
           60             50             15  -1.40721e-005    0.000714406    0.000224537
           65             50             15   5.86534e-006    0.000621261    0.000193174
           70             50             15   1.42972e-005    0.000548052    0.000168939
          -70             55             15  -4.28111e-005   -0.000493495    -0.00014487
          -65             55             15   -6.7674e-005   -0.000550738    -0.00016194
          -60             55             15   -0.000103454   -0.000623258   -0.000183769
          -55             55             15   -0.000154956     -0.0007039   -0.000207168
          -50             55             15   -0.000227488    -0.00079404   -0.000235322
          -45             55             15   -0.000323044    -0.00089144   -0.000264666
          -40             55             15   -0.000454507    -0.00098092   -0.000290428
          -35             55             15    -0.00061795    -0.00105278    -0.00031344
          -30             55             15   -0.000815658    -0.00108999   -0.000326434
          -25             55             15    -0.00104736    -0.00108494   -0.000325216
          -20             55             15    -0.00129324    -0.00101518   -0.000305134
          -15             55             15    -0.00152936   -0.000865476   -0.000262571
          -10             55             15    -0.00173501   -0.000632493   -0.000191163
           -5             55             15     -0.0018728   -0.000334109   -0.000101071
            0             55             15    -0.00191891   6.33632e-007   1.89761e-007
            5             55             15    -0.00187399     0.00033534    0.000101676
           10             55             15    -0.00173737    0.000633535    0.000193181
           15             55             15    -0.00153126    0.000865787      0.0002624
           20             55             15    -0.00129178     0.00101208    0.000303361
           25             55             15    -0.00104589     0.00108442    0.000326049
           30             55             15   -0.000818968     0.00109124    0.000328251
           35             55             15   -0.000620318     0.00105002    0.000310838
           40             55             15   -0.000453854    0.000976662    0.000290461
           45             55             15   -0.000324654    0.000888971    0.000263297
           50             55             15    -0.00022768     0.00079532    0.000234417
           55             55             15   -0.000156413    0.000703515    0.000206801
           60             55             15    -0.00010349    0.000621765    0.000183573
           65             55             15   -6.6699e-005    0.000551275    0.000161422
           70             55             15  -4.32456e-005    0.000492352    0.000144696
          -70             60             15  -8.83417e-005   -0.000430389    -0.00012298
          -65             60             15   -0.000124864   -0.000475747   -0.000135642
          -60             60             15    -0.00017244   -0.000528586   -0.000149907
          -55             60             15   -0.000230055   -0.000592132   -0.000166285
          -50             60             15   -0.000307048   -0.000657227   -0.000185746
          -45             60             15   -0.000402594   -0.000721876   -0.000201257
          -40             60             15   -0.000519661   -0.000777085   -0.000217846
          -35             60             15   -0.000661952    -0.00082202   -0.000230652
          -30             60             15   -0.000823985   -0.000834826   -0.000234662
          -25             60             15    -0.00100653   -0.000814279   -0.000228341
          -20             60             15    -0.00118852   -0.000746555   -0.000208691
          -15             60             15    -0.00135835    -0.00062292   -0.000174725
          -10             60             15    -0.00150295   -0.000452996   -0.000127161
           -5             60             15    -0.00160214   -0.000239607   -6.6784e-005
            0             60             15    -0.00163203  -6.24509e-007    1.4894e-007
            5             60             15    -0.00160131    0.000235163   6.60121e-005
           10             60             15    -0.00150669    0.000450524    0.000127062
           15             60             15    -0.00136086    0.000622284    0.000173965
           20             60             15    -0.00119019    0.000745833    0.000208971
           25             60             15    -0.00100545    0.000813169    0.000228547
           30             60             15   -0.000827284    0.000834777    0.000233167
           35             60             15   -0.000661859    0.000819044    0.000229604
           40             60             15   -0.000519797    0.000774539     0.00021698
           45             60             15   -0.000400546    0.000721385    0.000202608
           50             60             15   -0.000305458    0.000655144    0.000184929
           55             60             15   -0.000229796    0.000592908    0.000166855
           60             60             15    -0.00016999    0.000529897    0.000149791
           65             60             15   -0.000124305    0.000475778    0.000135455
           70             60             15  -8.87687e-005    0.000430049    0.000122719
          -70             65             15    -0.00012437   -0.000363437   -0.000105674
          -65             65             15   -0.000168429   -0.000397213   -0.000114638
          -60             65             15   -0.000220197   -0.000437937   -0.000124124
          -55             65             15    -0.00028489   -0.000482444   -0.000136463
          -50             65             15   -0.000360407   -0.000527681   -0.000147939
          -45             65             15    -0.00045335   -0.000569509   -0.000158468
          -40             65             15   -0.000560229    -0.00060676   -0.000167856
          -35             65             15   -0.000685169   -0.000630027   -0.000172548
          -30             65             15   -0.000818041   -0.000634266   -0.000172953
          -25             65             15   -0.000961509   -0.000605244   -0.000163183
          -20             65             15    -0.00110211   -0.000547129   -0.000147134
          -15             65             15    -0.00123499   -0.000451549    -0.00012156
          -10             65             15    -0.00133564   -0.000323329  -8.68686e-005
           -5             65             15    -0.00140396   -0.000168367   -4.5421e-005
            0             65             15    -0.00143104  -3.10981e-008   -2.6039e-007
            5             65             15    -0.00140752    0.000170123   4.58057e-005
           10             65             15    -0.00133574    0.000323643   8.70598e-005
           15             65             15    -0.00123349    0.000453318    0.000122565
           20             65             15    -0.00110577    0.000547259    0.000147737
           25             65             15   -0.000963131    0.000606786    0.000163792
           30             65             15   -0.000818551    0.000629721    0.000171312
           35             65             15    -0.00068346    0.000628213    0.000171842
           40             65             15   -0.000561995    0.000607371     0.00016709
           45             65             15   -0.000453037    0.000571601    0.000158436
           50             65             15   -0.000361232    0.000527824     0.00014761
           55             65             15   -0.000286254    0.000481221    0.000136262
           60             65             15   -0.000220326     0.00043663     0.00012486
           65             65             15   -0.000167132    0.000396796    0.000114422
           70             65             15   -0.000124858    0.000362598    0.000105426
          -70             70             15   -0.000151096   -0.000290807    -9.139e-005
          -65             70             15    -0.00019975   -0.000316357  -9.76001e-005
          -60             70             15   -0.000257172   -0.000346854   -0.000104978
          -55             70             15   -0.000323087    -0.00037604   -0.000112434
          -50             70             15   -0.000398328   -0.000408838   -0.000120213
          -45             70             15    -0.00048561   -0.000436452   -0.000125976
          -40             70             15    -0.00058368   -0.000460711   -0.000130897
          -35             70             15   -0.000690805   -0.000466727   -0.000131986
          -30             70             15   -0.000806543    -0.00046578   -0.000129566
          -25             70             15   -0.000923034   -0.000442818   -0.000121881
          -20             70             15    -0.00103589   -0.000393407   -0.000107389
          -15             70             15    -0.00113655    -0.00032063   -8.7594e-005
          -10             70             15    -0.00121584   -0.000230087  -6.17481e-005
           -5             70             15    -0.00126717   -0.000118003  -3.17088e-005
            0             70             15    -0.00128325  -3.33169e-007  -1.12616e-007
            5             70             15    -0.00126739      0.0001192   3.24165e-005
           10             70             15    -0.00121454    0.000229266   6.24569e-005
           15             70             15    -0.00113503    0.000320508   8.77891e-005
           20             70             15    -0.00103488    0.000393011    0.000107626
           25             70             15   -0.000923077     0.00044138    0.000121335
           30             70             15   -0.000806509    0.000464589    0.000128346
           35             70             15   -0.000692911    0.000468947    0.000132949
           40             70             15     -0.0005832    0.000459681    0.000130335
           45             70             15   -0.000486109    0.000437403    0.000126071
           50             70             15   -0.000398844    0.000408357    0.000120089
           55             70             15   -0.000322447    0.000377837    0.000112681
           60             70             15   -0.000256975    0.000345219     0.00010506
           65             70             15   -0.000200162    0.000316987   9.79672e-005
           70             70             15   -0.000151058    0.000292017   9.18206e-005
          -70            -70             20   -0.000157894    0.000278661   -0.000115171
          -65            -70             20   -0.000207609    0.000300863   -0.000122276
          -60            -70             20   -0.000265994     0.00032783   -0.000131262
          -55            -70             20   -0.000330737    0.000354547   -0.000139708
          -50            -70             20   -0.000406336    0.000382342   -0.000148804
          -45            -70             20   -0.000490585    0.000407807   -0.000156099
          -40            -70             20   -0.000587221     0.00042444   -0.000160873
          -35            -70             20   -0.000690241    0.000435196   -0.000163188
          -30            -70             20   -0.000799429    0.000428196   -0.000158841
          -25            -70             20   -0.000911548    0.000403454   -0.000148306
          -20            -70             20    -0.00101445    0.000357947   -0.000130814
          -15            -70             20    -0.00111043    0.000292804   -0.000106176
          -10            -70             20    -0.00118501    0.000208665   -7.5562e-005
           -5            -70             20    -0.00123125    0.000108859  -3.91323e-005
            0            -70             20    -0.00124868  -4.09322e-007  -1.59694e-007
            5            -70             20    -0.00123009   -0.000108371   3.92124e-005
           10            -70             20    -0.00118356    -0.00020844   7.52886e-005
           15            -70             20    -0.00111011   -0.000293926    0.000106737
           20            -70             20    -0.00101635   -0.000360265    0.000131118
           25            -70             20    -0.00090963   -0.000404191    0.000148147
           30            -70             20    -0.00080093   -0.000427329    0.000158835
           35            -70             20   -0.000690175   -0.000433646    0.000161568
           40            -70             20   -0.000586973   -0.000426367    0.000161023
           45            -70             20   -0.000491623   -0.000408155    0.000156479
           50            -70             20    -0.00040606   -0.000382006    0.000149266
           55            -70             20    -0.00033128   -0.000354927    0.000139909
           60            -70             20   -0.000264759   -0.000328332     0.00013156
           65            -70             20   -0.000208264   -0.000301967    0.000122338
           70            -70             20   -0.000157448    -0.00027898    0.000114607
          -70            -65             20   -0.000133485    0.000344894   -0.000131432
          -65            -65             20    -0.00017806     0.00037608   -0.000142735
          -60            -65             20   -0.000233547    0.000412195   -0.000155671
          -55            -65             20   -0.000296016    0.000451643   -0.000168204
          -50            -65             20   -0.000373896    0.000492279    -0.00018209
          -45            -65             20   -0.000464035    0.000530411    -0.00019485
          -40            -65             20   -0.000568388    0.000559272    -0.00020456
          -35            -65             20   -0.000685663    0.000575556   -0.000208581
          -30            -65             20    -0.00081457    0.000574279   -0.000207963
          -25            -65             20   -0.000948314    0.000548956   -0.000196825
          -20            -65             20    -0.00108119    0.000491773   -0.000176445
          -15            -65             20    -0.00119831    0.000404507   -0.000144966
          -10            -65             20    -0.00129409    0.000291298   -0.000103534
           -5            -65             20    -0.00135893    0.000151879  -5.40695e-005
            0            -65             20    -0.00137725  -1.71222e-007  -1.18529e-007
            5            -65             20    -0.00135686   -0.000149592    5.3231e-005
           10            -65             20    -0.00129574   -0.000289867    0.000103702
           15            -65             20     -0.0011991   -0.000406783    0.000145624
           20            -65             20    -0.00108088   -0.000491846    0.000176662
           25            -65             20   -0.000948279   -0.000548493     0.00019722
           30            -65             20   -0.000817211   -0.000576467    0.000208247
           35            -65             20   -0.000685272   -0.000577057    0.000209032
           40            -65             20   -0.000566666   -0.000560819     0.00020472
           45            -65             20    -0.00046362   -0.000530712    0.000195078
           50            -65             20   -0.000373795    -0.00049104    0.000181348
           55            -65             20   -0.000297452   -0.000451456    0.000168662
           60            -65             20    -0.00023318   -0.000411548    0.000154905
           65            -65             20   -0.000179488   -0.000375739    0.000142558
           70            -65             20   -0.000133397    -0.00034498      0.0001318
          -70            -60             20   -0.000100998    0.000408826   -0.000153734
          -65            -60             20   -0.000139864    0.000450184   -0.000168688
          -60            -60             20    -0.00018855    0.000496558   -0.000185193
          -55            -60             20   -0.000248756    0.000552381   -0.000205659
          -50            -60             20   -0.000325074    0.000608433   -0.000226359
          -45            -60             20   -0.000421531    0.000663049   -0.000247043
          -40            -60             20   -0.000535745    0.000712264   -0.000264543
          -35            -60             20   -0.000672089    0.000743301   -0.000276731
          -30            -60             20   -0.000824434    0.000753735   -0.000280151
          -25            -60             20   -0.000991324    0.000731139   -0.000271918
          -20            -60             20    -0.00115897    0.000662316   -0.000246451
          -15            -60             20    -0.00131644    0.000550258   -0.000204842
          -10            -60             20    -0.00144744    0.000396556    -0.00014733
           -5            -60             20    -0.00152791    0.000208474  -7.79805e-005
            0            -60             20    -0.00155908  -5.87698e-009   3.63242e-007
            5            -60             20    -0.00153155   -0.000211241   7.82591e-005
           10            -60             20    -0.00144569   -0.000397773    0.000148927
           15            -60             20    -0.00131709   -0.000549991    0.000204438
           20            -60             20    -0.00116116   -0.000663653    0.000246607
           25            -60             20   -0.000991909   -0.000727953     0.00026987
           30            -60             20    -0.00082706   -0.000755403    0.000281088
           35            -60             20   -0.000668611   -0.000743477    0.000276336
           40            -60             20   -0.000535303   -0.000712616    0.000264752
           45            -60             20   -0.000421175    -0.00066468    0.000247009
           50            -60             20   -0.000324887   -0.000609542    0.000227036
           55            -60             20   -0.000248926   -0.000551071    0.000205792
           60            -60             20   -0.000188184   -0.000497629    0.000186231
           65            -60             20   -0.000139773   -0.000448057    0.000168267
           70            -60             20   -0.000100855   -0.000408542    0.000153533
          -70            -55             20  -5.93995e-005    0.000466407    -0.00017972
          -65            -55             20  -8.80793e-005    0.000519037   -0.000200145
          -60            -55             20   -0.000128054    0.000581982   -0.000225536
          -55            -55             20   -0.000183335    0.000654248    -0.00025441
          -50            -55             20   -0.000258203    0.000733619   -0.000286507
          -45            -55             20   -0.000355859    0.000810192   -0.000317426
          -40            -55             20   -0.000480193    0.000888314   -0.000349698
          -35            -55             20   -0.000636858    0.000944654   -0.000373142
          -30            -55             20   -0.000825019    0.000972477   -0.000386338
          -25            -55             20    -0.00103604     0.00095663   -0.000380406
          -20            -55             20    -0.00125562    0.000884152   -0.000353272
          -15            -55             20    -0.00147087    0.000748881   -0.000300021
          -10            -55             20    -0.00164659    0.000543043   -0.000218573
           -5            -55             20    -0.00176579    0.000289408   -0.000115847
            0            -55             20    -0.00181393  -3.97195e-006   1.76098e-006
            5            -55             20    -0.00176577   -0.000287335    0.000115762
           10            -55             20    -0.00164805   -0.000541597    0.000217914
           15            -55             20    -0.00146985   -0.000746661    0.000299269
           20            -55             20    -0.00125352   -0.000889262    0.000354215
           25            -55             20    -0.00103548   -0.000956614    0.000379592
           30            -55             20   -0.000823453   -0.000971132    0.000384593
           35            -55             20   -0.000637021   -0.000947196     0.00037345
           40            -55             20    -0.00048081   -0.000886487    0.000347704
           45            -55             20   -0.000355844   -0.000813555    0.000317624
           50            -55             20   -0.000258215   -0.000732389    0.000285714
           55            -55             20   -0.000183597   -0.000651672    0.000253855
           60            -55             20   -0.000129632    -0.00058125    0.000225459
           65            -55             20  -8.95393e-005   -0.000517148    0.000200275
           70            -55             20  -6.01446e-005     -0.0004671    0.000179453
          -70            -50             20  -8.32071e-006    0.000517397   -0.000211168
          -65            -50             20  -2.52326e-005    0.000581326   -0.000239139
          -60            -50             20  -5.24642e-005    0.000662549    -0.00027392
          -55            -50             20  -9.63607e-005    0.000756533   -0.000315563
          -50            -50             20   -0.000159712    0.000862806   -0.000364269
          -45            -50             20   -0.000260567    0.000977601   -0.000413822
          -40            -50             20   -0.000394732     0.00108399   -0.000461461
          -35            -50             20   -0.000573561     0.00118262   -0.000508599
          -30            -50             20   -0.000800761      0.0012412   -0.000538177
          -25            -50             20    -0.00106998     0.00124974   -0.000546149
          -20            -50             20    -0.00136233     0.00118168   -0.000519803
          -15            -50             20      -0.001663     0.00101894   -0.000448754
          -10            -50             20    -0.00192038    0.000748628   -0.000331247
           -5            -50             20    -0.00209387    0.000395785   -0.000176492
            0            -50             20     -0.0021527   1.34025e-006  -2.53758e-008
            5            -50             20     -0.0020905   -0.000394779     0.00017594
           10            -50             20     -0.0019193   -0.000745796    0.000331134
           15            -50             20    -0.00165843    -0.00101446     0.00044899
           20            -50             20     -0.0013638    -0.00118185    0.000517753
           25            -50             20    -0.00107058    -0.00125189    0.000545696
           30            -50             20   -0.000799828    -0.00123721     0.00053641
           35            -50             20   -0.000577214    -0.00118085    0.000509923
           40            -50             20    -0.00039564    -0.00108362    0.000462001
           45            -50             20   -0.000259891   -0.000973198    0.000413865
           50            -50             20   -0.000162026   -0.000863018    0.000362661
           55            -50             20  -9.58247e-005   -0.000756846    0.000316069
           60            -50             20  -5.27021e-005   -0.000660304    0.000274185
           65            -50             20  -2.43544e-005   -0.000582474    0.000238489
           70            -50             20  -8.62067e-006   -0.000517543    0.000210724
          -70            -45             20   5.41549e-005    0.000558842   -0.000246262
          -65            -45             20   5.57063e-005    0.000636259   -0.000282963
          -60            -45             20   4.41354e-005    0.000733014   -0.000331226
          -55            -45             20   1.77987e-005    0.000854263    -0.00039131
          -50            -45             20  -3.57619e-005    0.000991121   -0.000458007
          -45            -45             20   -0.000127173     0.00114164   -0.000535191
          -40            -45             20   -0.000265644     0.00130309   -0.000619512
          -35            -45             20   -0.000469402     0.00145517   -0.000694806
          -30            -45             20   -0.000738478     0.00157055   -0.000762555
          -25            -45             20    -0.00108372     0.00162393   -0.000794496
          -20            -45             20    -0.00148878     0.00156407   -0.000772291
          -15            -45             20      -0.001913     0.00138328   -0.000686994
          -10            -45             20    -0.00226974     0.00103388   -0.000517621
           -5            -45             20    -0.00254142    0.000553592    -0.00027717
            0            -45             20    -0.00264476  -7.41182e-007   7.67421e-007
            5            -45             20    -0.00253935   -0.000556387    0.000280068
           10            -45             20    -0.00228149    -0.00103412    0.000518006
           15            -45             20    -0.00191049    -0.00137186    0.000684419
           20            -45             20     -0.0014887    -0.00156402    0.000774402
           25            -45             20    -0.00108633    -0.00161975    0.000792552
           30            -45             20    -0.00074059     -0.0015768    0.000759999
           35            -45             20   -0.000469904    -0.00145216    0.000696697
           40            -45             20   -0.000264629    -0.00130298    0.000614216
           45            -45             20   -0.000122111    -0.00115086    0.000539888
           50            -45             20  -3.40406e-005   -0.000991597    0.000460379
           55            -45             20   1.80093e-005   -0.000853199    0.000390434
           60            -45             20   4.70265e-005   -0.000738194    0.000332183
           65            -45             20   5.55404e-005   -0.000636694    0.000283681
           70            -45             20   5.48225e-005   -0.000559677    0.000246991
          -70            -40             20    0.000128273     0.00058648   -0.000287475
          -65            -40             20    0.000152551    0.000678097   -0.000337273
          -60            -40             20    0.000163581    0.000794794    -0.00040054
          -55            -40             20    0.000161614    0.000938406   -0.000480815
          -50            -40             20     0.00013261     0.00111634   -0.000579864
          -45            -40             20   6.10562e-005       0.001321   -0.000697755
          -40            -40             20  -7.22729e-005     0.00154457   -0.000828114
          -35            -40             20   -0.000289255     0.00177289   -0.000962968
          -30            -40             20   -0.000614077     0.00196946    -0.00108176
          -25            -40             20    -0.00104897     0.00208616    -0.00116621
          -20            -40             20    -0.00160256     0.00207559    -0.00117775
          -15            -40             20    -0.00220324     0.00187528    -0.00107543
          -10            -40             20    -0.00275924     0.00142413   -0.000820845
           -5            -40             20     -0.0031697    0.000776881   -0.000450286
            0            -40             20    -0.00331537  -6.28042e-007   8.40651e-007
            5            -40             20    -0.00315931   -0.000778301    0.000451754
           10            -40             20    -0.00275096    -0.00142478    0.000823954
           15            -40             20    -0.00220256    -0.00187121     0.00106787
           20            -40             20    -0.00158624    -0.00208286     0.00117683
           25            -40             20    -0.00105177    -0.00208357      0.0011627
           30            -40             20   -0.000614232    -0.00197194     0.00108739
           35            -40             20   -0.000290652    -0.00177007     0.00096337
           40            -40             20  -7.01402e-005    -0.00154904    0.000828652
           45            -40             20   6.22292e-005    -0.00131892    0.000698707
           50            -40             20    0.000132753    -0.00112093    0.000583004
           55            -40             20    0.000161406   -0.000934545    0.000480558
           60            -40             20    0.000166459   -0.000795347    0.000401086
           65            -40             20    0.000151588    -0.00067775    0.000336842
           70            -40             20    0.000127997   -0.000586609    0.000286802
          -70            -35             20    0.000211247    0.000596414   -0.000331191
          -65            -35             20    0.000262325    0.000697114   -0.000395359
          -60            -35             20    0.000305286    0.000831722    -0.00047983
          -55            -35             20    0.000338141     0.00100179   -0.000588292
          -50            -35             20    0.000348577     0.00122042   -0.000727047
          -45            -35             20    0.000306357     0.00147584   -0.000893704
          -40            -35             20    0.000198296     0.00178001    -0.00110295
          -35            -35             20  -2.02025e-005     0.00210312    -0.00131999
          -30            -35             20   -0.000380017     0.00243096    -0.00155042
          -25            -35             20   -0.000932802     0.00265929    -0.00172945
          -20            -35             20     -0.0016813     0.00272424    -0.00180385
          -15            -35             20     -0.0025413     0.00251923     -0.0016869
          -10            -35             20    -0.00340545     0.00197629    -0.00135053
           -5            -35             20     -0.0040203     0.00108499   -0.000744103
            0            -35             20    -0.00427417   -1.0712e-005    6.9745e-006
            5            -35             20    -0.00403766    -0.00108412    0.000742505
           10            -35             20    -0.00340598    -0.00198261     0.00135946
           15            -35             20    -0.00254571    -0.00251814     0.00169781
           20            -35             20    -0.00167031    -0.00272196     0.00180287
           25            -35             20   -0.000934534    -0.00267061      0.0017305
           30            -35             20   -0.000387786    -0.00242597      0.0015545
           35            -35             20  -1.66958e-005    -0.00209638     0.00131842
           40            -35             20    0.000197069    -0.00178101     0.00110016
           45            -35             20    0.000314597    -0.00148338    0.000898691
           50            -35             20    0.000345663    -0.00121807    0.000727536
           55            -35             20    0.000338832    -0.00100329    0.000589131
           60            -35             20     0.00030971   -0.000834118    0.000480269
           65            -35             20    0.000262376    -0.00069901    0.000395857
           70            -35             20     0.00021123   -0.000596792    0.000331645
          -70            -30             20    0.000304818    0.000583666   -0.000378332
          -65            -30             20    0.000383365     0.00069463   -0.000457007
          -60            -30             20     0.00047078    0.000843972   -0.000567963
          -55            -30             20    0.000548503     0.00103602    -0.00071091
          -50            -30             20    0.000610517     0.00128823    -0.00090179
          -45            -30             20    0.000628574     0.00160205    -0.00114349
          -40            -30             20    0.000566776      0.0019884    -0.00145102
          -35            -30             20    0.000370517     0.00242286     -0.0018077
          -30            -30             20  -1.77903e-005     0.00289778    -0.00220006
          -25            -30             20   -0.000696537     0.00329274    -0.00255772
          -20            -30             20    -0.00168273     0.00350041    -0.00279318
          -15            -30             20    -0.00294844     0.00334142    -0.00272857
          -10            -30             20    -0.00422798     0.00268495     -0.0022323
           -5            -30             20    -0.00523268      0.0014897    -0.00125476
            0            -30             20    -0.00559669  -3.41091e-006   2.51913e-006
            5            -30             20    -0.00522725    -0.00148963     0.00126491
           10            -30             20     -0.0042446    -0.00265849     0.00222829
           15            -30             20    -0.00293995    -0.00334404     0.00273512
           20            -30             20    -0.00169408    -0.00350433     0.00279108
           25            -30             20   -0.000694515    -0.00329052     0.00256718
           30            -30             20  -2.93049e-005    -0.00288331     0.00219255
           35            -30             20    0.000376378    -0.00242395     0.00180369
           40            -30             20     0.00057546    -0.00198985      0.0014535
           45            -30             20    0.000629984    -0.00159991     0.00114565
           50            -30             20    0.000604623    -0.00128736    0.000900445
           55            -30             20    0.000548086    -0.00103592    0.000713811
           60            -30             20    0.000468488   -0.000840447    0.000566435
           65            -30             20    0.000383675   -0.000692166     0.00045849
           70            -30             20    0.000300117   -0.000580994    0.000377338
          -70            -25             20    0.000394874    0.000546207   -0.000424648
          -65            -25             20    0.000515243    0.000657365   -0.000521325
          -60            -25             20    0.000644625    0.000812162   -0.000661045
          -55            -25             20    0.000775621     0.00101913   -0.000845235
          -50            -25             20    0.000911854     0.00129626    -0.00110004
          -45            -25             20     0.00100449     0.00165545    -0.00142942
          -40            -25             20      0.0010226     0.00210889    -0.00187605
          -35            -25             20    0.000903963     0.00266007     -0.0024169
          -30            -25             20    0.000531083     0.00329584    -0.00307294
          -25            -25             20   -0.000277151     0.00388555    -0.00375575
          -20            -25             20     -0.0015667     0.00428546    -0.00425319
          -15            -25             20    -0.00332931     0.00419945    -0.00431331
          -10            -25             20    -0.00529977     0.00342848    -0.00363685
           -5            -25             20    -0.00681317     0.00194485    -0.00209483
            0            -25             20    -0.00736107  -2.37204e-005   2.26412e-005
            5            -25             20    -0.00681008     -0.0019301     0.00208379
           10            -25             20    -0.00530168    -0.00340096     0.00361058
           15            -25             20    -0.00330425    -0.00422186     0.00432097
           20            -25             20    -0.00154863    -0.00430755     0.00428863
           25            -25             20    -0.00027545    -0.00390113     0.00376497
           30            -25             20    0.000525377    -0.00329784     0.00306741
           35            -25             20    0.000917217    -0.00267045     0.00243325
           40            -25             20     0.00103239    -0.00210858      0.0018704
           45            -25             20     0.00100957    -0.00165577     0.00143627
           50            -25             20    0.000906619    -0.00129302     0.00109585
           55            -25             20    0.000777895    -0.00101998     0.00084654
           60            -25             20     0.00064189   -0.000810719    0.000659222
           65            -25             20    0.000512822   -0.000658799    0.000520861
           70            -25             20    0.000398202   -0.000545943    0.000424774
          -70            -20             20    0.000487558    0.000480755   -0.000468319
          -65            -20             20    0.000640758    0.000584088   -0.000585579
          -60            -20             20    0.000821057    0.000735097   -0.000748364
          -55            -20             20     0.00101868    0.000939112   -0.000981852
          -50            -20             20     0.00122719     0.00121337    -0.00130114
          -45            -20             20     0.00143439     0.00159608    -0.00173998
          -40            -20             20     0.00158763      0.0021035     -0.0023566
          -35            -20             20     0.00157303     0.00273399    -0.00315548
          -30            -20             20     0.00124068     0.00350196    -0.00417809
          -25            -20             20    0.000382169     0.00428668    -0.00531734
          -20            -20             20    -0.00128597     0.00485119    -0.00628751
          -15            -20             20    -0.00378123     0.00484864    -0.00660126
          -10            -20             20    -0.00654674      0.0039748     -0.0056623
           -5            -20             20    -0.00870723     0.00223681    -0.00332664
            0            -20             20    -0.00955909  -7.73615e-006   1.44954e-005
            5            -20             20    -0.00870949     -0.0022516     0.00331677
           10            -20             20    -0.00650494    -0.00396212     0.00564454
           15            -20             20    -0.00374582    -0.00487259     0.00663383
           20            -20             20    -0.00130175    -0.00487208     0.00628573
           25            -20             20    0.000378105    -0.00426021     0.00527861
           30            -20             20     0.00126505    -0.00351197     0.00420006
           35            -20             20     0.00157443    -0.00274809     0.00315937
           40            -20             20     0.00157555    -0.00209183      0.0023566
           45            -20             20     0.00143018    -0.00159482     0.00174455
           50            -20             20     0.00123695    -0.00121714     0.00130425
           55            -20             20     0.00101536   -0.000939298    0.000982539
           60            -20             20    0.000821408   -0.000735539    0.000748237
           65            -20             20    0.000637915   -0.000587178    0.000583278
           70            -20             20    0.000487916   -0.000482662    0.000469663
          -70            -15             20    0.000572048    0.000393153   -0.000508307
